H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2022 w11: Jamie L vs Simon L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w11: Conor H vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w11: Colin C vs Graham S -> WINNER Colin C  (playoffs=False, cons=False)
2022 w11: Andrew S vs Jake -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w11: Jack E vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w11: Ben H vs Chris S -> WINNER Chris S  (playoffs=False, cons=False)
2022 w12: Ben H vs Jamie L -> WINNER Ben H  (playoffs=False, cons=False)
2022 w12: Andrew S vs Conor H -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w12: Colin C vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w12: Chris S vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2022 w12: Jack E vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2022 w12: Graham S vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w13: Jake vs Jamie L -> WINNER Jake  (playoffs=False, cons=False)
2022 w13: Chris S vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2022 w13: Andrew S vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2022 w13: Graham S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w13: Ben H vs Jack E -> WINNER Ben H  (playoffs=False, cons=False)
2022 w13: Kevin G vs Simon L -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w14: Conor H vs Jamie L -> WINNER Conor H  (playoffs=False, cons=False)
2022 w14: Chris S vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2022 w14: Jack E vs Jake -> WINNER Jack E  (playoffs=False, cons=False)
2022 w14: Andrew S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w14: Ben H vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w14: Graham S vs Simon L -> WINNER Graham S  (playoffs=False, cons=False)
2022 w15: Colin C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w15: Conor H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w15: Jake vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w15: Chris S vs Jack C -> WINNER Chris S  (playoffs=False, cons=False)
2022 w15: Ben H vs Simon L -> WINNER Ben H  (playoffs=False, cons=False)
2022 w15: Andrew S vs Graham S -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w16: Jamie L vs Kevin G -> WINNER Jamie L  (playoffs=True, cons=False)
2022 w16: Colin C vs Jake -> WINNER Jake  (playoffs=True, cons=True)
2022 w16: Andrew S vs Jack C -> WINNER Andrew S  (playoffs=True, cons=False)
2022 w16: Ben H vs Jack E -> WINNER Jack E  (playoffs=True, cons=True)
2022 w17: Andrew S vs Jamie L -> WINNER Andrew S  (playoffs=True, cons=False)
2022 w17: Ben H vs Colin C -> WINNER Colin C  (playoffs=True, cons=True)
2022 w17: Jack E vs Jake -> WINNER Jack E  (playoffs=True, cons=True)
2022 w17: Jack C vs Kevin G -> WINNER Kevin G  (playoffs=True, cons=False)
  · 2023: weeks 1–17 (NFL UK 2022/23)
2023 w1: Chris S vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w1: Conor H vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2023 w1: Colin C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2023 w1: Andrew S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2023 w1: Ben H vs Jack E -> WINNER Ben H  (playoffs=False, cons=False)
2023 w1: Graham S vs Simon L -> WINNER Graham S  (playoffs=False, cons=False)
2023 w2: Jack C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w2: Colin C vs Conor H -> WINNER Colin C  (playoffs=False, cons=False)
2023 w2: Chris S vs Jake -> WINNER Chris S  (playoffs=False, cons=False)
2023 w2: Jack E vs Simon L -> WINNER Jack E  (playoffs=False, cons=False)
2023 w2: Ben H vs Kevin G -> WINNER Ben H  (playoffs=False, cons=False)
2023 w2: Andrew S vs Graham S -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w3: Graham S vs Jamie L -> WINNER Graham S  (playoffs=False, cons=False)
2023 w3: Chris S vs Conor H -> WINNER Chris S  (playoffs=False, cons=False)
2023 w3: Colin C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2023 w3: Jack C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2023 w3: Andrew S vs Jack E -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w3: Ben H vs Simon L -> WINNER Ben H  (playoffs=False, cons=False)
2023 w4: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w4: Conor H vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2023 w4: Ben H vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2023 w4: Graham S vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2023 w4: Chris S vs Kevin G -> WINNER Chris S  (playoffs=False, cons=False)
2023 w4: Andrew S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2023 w5: Jamie L vs Simon L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w5: Conor H vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
