season,date,type,player,position,nfl,from_team,to_team,note
2025,"Sep 27, 3:18 am",add,Matt Prater,K,Buf,Free Agent,Whole lotta Hurts,Free Agent
2025,"Sep 28, 12:02 pm",add,Oronde Gadsden,TE,LAC,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Sep 28, 12:03 pm",add,Las Vegas,DEF,LV,Free Agent,The Flea Flickers,Free Agent
2025,"Sep 28, 12:04 pm",add,Los Angeles Rams,DEF,LAR,Free Agent,The Flea Flickers,Free Agent
2025,"Sep 28, 9:48 am",add,Chris Rodriguez Jr.,RB,Was,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Sep 4, 1:25 am",add,Cedric Tillman,WR,Cle,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 4, 4:08 am",add,DeMario Douglas,WR,NE,Free Agent,Drake it til you make it,Free Agent
2025,"Sep 4, 4:55 am",add,Cam Little,K,Jax,Free Agent,Never Starting Najee,Free Agent
2025,"Sep 4, 5:11 pm",add,Brenton Strange,TE,Jax,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 5, 12:40 pm",add,Chicago,DEF,Chi,Free Agent,Dak to the Future,Free Agent
2025,"Sep 7, 10:42 am",add,Los Angeles Rams,DEF,LAR,Free Agent,Dak to the Future,Free Agent
2025,"Sep 7, 3:08 pm",add,Tyler Loop,K,Bal,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Sep 7, 4:12 pm",add,Green Bay,DEF,GB,Free Agent,The Flea Flickers,Free Agent
